78,64.31,4,302.29,"LINESTRING(104.097112 30.689471,104.096545 30.689782)"
79,35.44,4,302.54,"LINESTRING(104.096545 30.689782,104.096233 30.689953)"
80,749.03,4,299.94,"LINESTRING(104.096233 30.689953,104.095973 30.690123,104.095341 30.690459,104.094543 30.690847,104.092878 30.691634,104.092308 30.691916,104.091934 30.692098,104.089446 30.693312)"
81,103.38,4,32.93,"LINESTRING(104.097871 30.685842,104.098279 30.686346,104.098456 30.686623)"
82,64.26,4,297.89,"LINESTRING(104.089446 30.693312,104.088853 30.693583)"
83,63.78,4,120.83,"LINESTRING(104.088757 30.693309,104.089331 30.693016)"
84,351.73,4,121.94,"LINESTRING(104.089331 30.693016,104.090886 30.692135,104.092451 30.691343)"
85,101.06,4,214.32,"LINESTRING(104.098388 30.686645,104.098215 30.686397,104.097793 30.685895)"
86,182.41,4,215.74,"LINESTRING(104.097793 30.685895,104.096677 30.684564)"
87,68.72,4,214.93,"LINESTRING(104.096677 30.684564,104.096267 30.684057)"
88,54.03,2,219.52,"LINESTRING(104.096267 30.684057,104.096117 30.683942,104.095911 30.683684)"
89,73.1,2,214.15,"LINESTRING(104.095911 30.683684,104.095480 30.683141)"
90,20.62,2,214.2,"LINESTRING(104.095480 30.683141,104.095400 30.683040,104.095359 30.682987)"
91,12.9,2,214.0,"LINESTRING(104.095161 30.682731,104.095087 30.682634)"
92,818.82,5,104.69,"LINESTRING(104.070127 30.726180,104.072167 30.725911,104.073174 30.725709,104.078396 30.724315)"
93,100.08,2,213.15,"LINESTRING(104.095087 30.682634,104.094514 30.681881)"
94,100.61,2,213.02,"LINESTRING(104.094514 30.681881,104.093938 30.681124)"
95,46.05,2,218.99,"LINESTRING(104.093938 30.681124,104.093639 30.680799)"
96,64.54,2,38.37,"LINESTRING(104.093753 30.680679,104.093865 30.680839,104.094166 30.681135)"
97,88.68,2,32.43,"LINESTRING(104.094166 30.681135,104.094668 30.681806)"
98,95.38,2,32.87,"LINESTRING(104.094668 30.681806,104.095208 30.682527)"
99,14.75,2,33.12,"LINESTRING(104.095208 30.682527,104.095292 30.682638)"
100,16.86,2,36.54,"LINESTRING(104.095483 30.682887,104.095548 30.682972,104.095585 30.683010)"
101,80.15,2,34.44,"LINESTRING(104.095585 30.683010,104.096060 30.683604)"
102,51.18,2,32.78,"LINESTRING(104.096060 30.683604,104.096231 30.683801,104.096348 30.683990)"
103,218.43,5,106.91,"LINESTRING(104.078396 30.724315,104.080035 30.723891,104.080583 30.723746)"
104,187.12,4,220.09,"LINESTRING(104.093639 30.680799,104.093442 30.680532,104.092820 30.679766,104.092723 30.679674,104.092618 30.679621,104.092402 30.679537)"
105,107.92,2,31.99,"LINESTRING(104.092720 30.679169,104.092740 30.679311,104.092850 30.679434,104.093052 30.679649,104.093311 30.679977)"
106,95.65,2,33.81,"LINESTRING(104.093311 30.679977,104.093665 30.680407,104.093833 30.680650,104.093863 30.680693)"
107,57.08,2,30.67,"LINESTRING(104.093863 30.680693,104.094166 30.681135)"
108,24.31,2,27.53,"LINESTRING(104.092609 30.678980,104.092669 30.679032,104.092707 30.679097,104.092720 30.679169)"
109,39.93,2,315.14,"LINESTRING(104.092720 30.679169,104.092706 30.679240,104.092668 30.679304,104.092609 30.679355,104.092535 30.679388,104.092453 30.679400)"
110,10.81,2,258.27,"LINESTRING(104.092453 30.679400,104.092397 30.679395,104.092343 30.679381)"
111,29.74,2,214.29,"LINESTRING(104.092343 30.679381,104.092276 30.679346,104.092225 30.679296,104.092192 30.679235,104.092180 30.679169)"
112,40.54,2,134.57,"LINESTRING(104.092180 30.679169,104.092193 30.679097,104.092231 30.679032,104.092291 30.678980,104.092366 30.678947,104.092450 30.678936)"
113,16.21,2,71.52,"LINESTRING(104.092450 30.678936,104.092534 30.678947,104.092609 30.678980)"
114,73.67,4,188.56,"LINESTRING(104.069360 30.681145,104.069243 30.680491)"
115,610.9,5,106.69,"LINESTRING(104.080583 30.723746,104.086044 30.722308,104.086704 30.722168)"
116,239.68,2,216.58,"LINESTRING(104.093938 30.681124,104.093593 30.680799,104.092663 30.679598,104.092579 30.679552,104.092453 30.679400)"
117,119.66,2,213.18,"LINESTRING(104.092180 30.679169,104.092123 30.679037,104.092049 30.678857,104.091894 30.678747,104.091735 30.678581,104.091539 30.678326,104.091504 30.678285)"
118,135.08,2,212.03,"LINESTRING(104.091504 30.678285,104.091145 30.677869,104.090910 30.677510,104.090758 30.677257)"
